MemberID,next_buy
7ef72aa51aecb701dc5c4074480fcdf6,0
577f1b9a093c2cec6398b1118f5d99ab,0
e2ee74f248a74ed886a22f14348fbafd,0
cefa8ef7469a8b4e6df3f745d4905000,0
5eecda17ddf06ed9d79f298b13f84785,0
51b86190f095fc26d50fb885ccf3882f,1
d90dfeb1f33779390d1170d27e9fb791,0
8ccc5cccb5a8531cf2bf7f73ef5745d9,0
467aeb812e8fb65091d10ca22c95e204,0
f3b5eaa60ddf26eca40537fbc6df3242,0
13444873ba3f10ecc5f573a2b34a809c,0
867eaaef5499485a9b19679c72dadd57,0
b75121988023f1867ecdf5f7434f0d20,0
d8b59847637e86bd83dfa5cf0e5b5772,0
74a24267bad02f73626f73c003e2fec6,0
e0ac1008d678f7fe39c97a91b92ab7df,0
73fd6eead8cd6eccb488db6ccb7ef955,0
af16c9498dcf4b273d4980c92f8b92fe,0
7d5c5f382b076334635e4b22082e6c09,0
2329d69bf79d11c90e8d25543b0e3252,0
277bc9387b1e003f16cdac80dafb2a06,0
dd16909c8de9c5b1771aee667bad4144,0
86ca51604fca509ffea294c862abc061,0
6be98ff4726da5b5a879a88d2461aaa7,0
6996babcbcd4d12436f9abb4c519d6f6,1
39d74bebf213b57645c67f1a770581d3,0
dfa19f281f3dacff7c413b27f38c384e,0
a030d41fd17b97c2e43352fd69817f3e,1
7013fd1566aa2e38a676b53e71254b9d,0
0c0a03a8c2946a8f6309defdbefc306f,0
a465e27a6cdc5b8796e44711e75bbdf3,0
9edc0fcac79f050d8e9ab718321881e4,0
916671c0da44877a572e971efd9dac3e,0
7f3eb1e8ec959e846b5133e5b4abd724,0
4cb6e3c4cd17354f42821e239a414d3c,0
abe88552409a087acc7a8c149168303e,0
147b372ed7668cbd579a7f1dc7212f48,0
71173271b19347d042d57dfebe815b20,0
4a3c1c263f54f2723dfafbe9cf5d9d89,1
3d957f7c32215a20cdd8c92d7209d6ca,0
ac0462ee92965d5cb512a76c901c82dd,0
b9466f0f55cbbdca406c800d52950464,0
e5a6f795bdbfc58023e66e41a709b327,0
11bc3ec1fa7638929db136ae4059d040,1
9258005ce5b3e5b824cf48d4ff48b307,0
ba20f8f4ca2817e9167ccd8b0c45efee,0
3a94ddf32fdadb2795ed75ca6bd3a6f7,0
911d57e9b83d4f32d76b8da2194d9053,0
1feba40dc604c8fd3fc78a29c6d7e2c1,0
b84fe1931acf75567da0984bc732681b,0
3ab7d9cc6569601e8809c9cfa78aff31,0
143c0e67ef6650356e5fbb4ef938a267,0
96a57c7d27b1d17b3f1c154028106d8f,0
590681f838d7d3f705f242911a2c68de,0
9f17e7c98bea841280a21361ae520171,0
3aa6ea5cf5e969fb59b21eaced0604e3,0
35a435ac46621c581836f9328231c55a,1
237de663bb0a01b73ba5198d6870c172,0
4831046b68ea79090f1dac5cdba0426d,0
e8243121d4964ad7e90ece67faee1e86,0
95ad3e35f512c2dab1aeaa651b44cc5f,0
72b5bc1f1244f95051b74282879db027,0
bc03b7cfb9d316abb67d4321982c9140,0
53b760e5ef51ce8751f872afbf1e7f16,0
